"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BAT2","Battery_Cell","~","magnus:battery_holder_18650","1",""
"J1","Wireless Charge","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","Wireless Charge 2","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J3","Force Config","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1",""
"J4","Balance 1","~","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","1",""
"J5","Balance 2","~","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","1",""
"J6","Balance 3","~","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","1",""
"R1,R2","10k","~","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"R3","3.3k","~","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R4,R5","220k","~","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"SW2","SW_SPST","~","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","1",""
"U1","TP-4056","","magnus:lipo-tp4056","1",""
"U5,U7","~","","magnus:gyro-mpu6050,magnus:waveshare-esp32c3-zero","2",""
"U8","DS18B20","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","1",""
